Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
no_cost_objective,11,14,0.8666666666666667,0.9333333333333333,22616,0.8937482833862305,0.9977449593208348,0.19217402387729957
no_cost_objective,11,15,0.9333333333333333,1.0,55588,0.9885046482086182,0.9999460315175938,0.4723456685219017
no_cost_objective,22,1,0.0,0.06666666666666667,0,,,0.0
no_cost_objective,22,2,0.06666666666666667,0.13333333333333333,346,0.12033510208129883,0.08092485549132948,0.002940051833283766
no_cost_objective,22,3,0.13333333333333333,0.2,873,0.16112017631530762,0.15807560137457044,0.0074181076602795595
no_cost_objective,22,4,0.2,0.26666666666666666,357,0.23212717473506927,0.3949579831932773,0.0030335216892552154
no_cost_objective,22,5,0.26666666666666666,0.3333333333333333,468,0.30397117137908936,0.532051282051282,0.003976717508603476
no_cost_objective,22,6,0.3333333333333333,0.4,813,0.3705027401447296,0.6260762607626076,0.006908272082253473
no_cost_objective,22,7,0.4,0.4666666666666667,1396,0.43385764956474304,0.6475644699140402,0.01186217444874028
no_cost_objective,22,8,0.4666666666666667,0.5333333333333333,21988,0.5067698359489441,0.6068309987265781,0.1868377448272932
no_cost_objective,22,9,0.5333333333333333,0.6,28424,0.5566576719284058,0.6974739656628202,0.24152610783022474
no_cost_objective,22,10,0.6,0.6666666666666666,11711,0.6116938591003418,0.7592861412347366,0.09951140757105834
no_cost_objective,22,11,0.6666666666666666,0.7333333333333333,1331,0.7020566463470459,0.903831705484598,0.011309852572545354
no_cost_objective,22,12,0.7333333333333333,0.8,1841,0.770095944404602,0.9619771863117871,0.01564345498576709
no_cost_objective,22,13,0.8,0.8666666666666667,2219,0.8408180475234985,0.9756647138350608,0.018855419127331435
no_cost_objective,22,14,0.8666666666666667,0.9333333333333333,4812,0.8916035890579224,0.9887780548628429,0.04088881335769214
no_cost_objective,22,15,0.9333333333333333,1.0,41106,0.9940184354782104,0.9999513453023889,0.3492883545056719
no_family_objective,11,1,0.0,0.06666666666666667,0,,,0.0
no_family_objective,11,2,0.06666666666666667,0.13333333333333333,239,0.11784236878156662,0.09205020920502092,0.002030845052470578
no_family_objective,11,3,0.13333333333333333,0.2,684,0.1655440330505371,0.18567251461988304,0.005812125589497387
no_family_objective,11,4,0.2,0.26666666666666666,460,0.23234252631664276,0.3217391304347826,0.00390873943153333
no_family_objective,11,5,0.26666666666666666,0.3333333333333333,541,0.30062782764434814,0.5360443622920518,0.004597017461868547
no_family_objective,11,6,0.3333333333333333,0.4,689,0.36954864859580994,0.5849056603773585,0.005854611887666228
no_family_objective,11,7,0.4,0.4666666666666667,1284,0.43724653124809265,0.5514018691588785,0.010910481369758253
no_family_objective,11,8,0.4666666666666667,0.5333333333333333,20207,0.508955180644989,0.6210719057752264,0.17170412541955218
no_family_objective,11,9,0.5333333333333333,0.6,27026,0.5651158094406128,0.6447865018870718,0.22964693886221693
no_family_objective,11,10,0.6,0.6666666666666666,15671,0.616604745388031,0.7474315614829941,0.13316055572078006
no_family_objective,11,11,0.6666666666666666,0.7333333333333333,696,0.7003430128097534,0.9037356321839081,0.005914092705102604
no_family_objective,11,12,0.7333333333333333,0.8,1008,0.7719582915306091,0.9325396825396826,0.008565237710838254
no_family_objective,11,13,0.8,0.8666666666666667,2976,0.8328798413276672,0.9684139784946236,0.025287844670093894
no_family_objective,11,14,0.8666666666666667,0.9333333333333333,2058,0.8938137888908386,0.9941690962099126,0.01748736032629477
no_family_objective,11,15,0.9333333333333333,1.0,44146,0.9923614859580994,0.9999773478910886,0.37512002379232695
no_family_objective,22,1,0.0,0.06666666666666667,0,,,0.0
no_family_objective,22,2,0.06666666666666667,0.13333333333333333,319,0.11968227475881577,0.06583072100313479,0.002710625823172027
